en,fr,es,de,de-ch,zh-hans,zh-hant,kr,pt,ar,arb,he,heb,da,sv,no,it,nl,jp-unfinished,th-unfinished,hu-unfinished,pl-unfinished,sk-unfinished,el-unfinished,cs-unfinished,ro-unfinished,hi-unfinished,tr-unfinished,ru-unfinished,de-oe unfinished,ca-unfinished,fi-unfinished
Auto-Off,Mise en veille,Autoapagado,Selbstabschaltung,Sälbschtabschaltig,自动关闭,自動關閉,자동 종료,Desligamento Automático,غلق-تلقائي,ﻲﺋﺎﻘﻠﺗ-ﻖﻠﻏ,כיבוי אוטומטי,יטמוטוא יוביכ,Auto-Sluk,Automatisk avstängning,Auto-Av,Auto-spegnimento,Auto-uit,自動オフ,ปิดอัตโนมัติ,Automatikus kikapcsolás,Auto-Off,Auto-Off,Αυτόματη-Απενεργοποίηση,Auto-Off,,,,Авто-выключение,Selbstabschaltung,Apagat Automàtic,
Automatic,Automatique,Automático,Automatisch,Automatisch,自动,自動,자동 언어 선택택,Automático,أوتوماتيكي,ﻲﻜﻴﺗﺎﻣﻮﺗﻭﺃ,אוטומטי,יטמוטוא,Automatisk,Automatisk,Automatisk,Automatico,Automatisch,言語自動選択,อัตโนมัติ,Automatikus,automatycznie,Automaticky,Αυτόματο,,,,,Автоматически,Automatisch,Automàtic,
Available machines:,Machines disponibles,Equipos disponibles,Verfügbare Maschinen,Verfüägbari Maschinä,可选主机,可選主機,연결 가능한 머신,Máquinas disponíveis:,الأجهزة المتوفرة,ﺓﺮﻓﻮﺘﻤﻟﺍ ﺓﺰﻬﺟﻷﺍ,מכונות לבחירה,הריחבל תונוכמ,Tilgængelige maskiner,Tillgängliga enheter,Tilgjengelige maskiner,Macchine disponibili,Beschikbare machines,利用可能なマシン,เครื่องที่เลือกได้:,Rendelkezésre álló gépek,Dostępne urządzenia,Dostupné prístroje,Διαθέσιμες μηχανές,Dostupná zařízení,,,uygun makina,Доступные кофемашины:,Verfügbare Maschinen,Cafeteres disponibles:,Saatavissa olevat laitteet
awake,réveil,reinicio,Aufwachen,Ufwachä,起动,起動,대기모드 해제,disponível,مستيقظ,ﻆﻘﻴﺘﺴﻣ,ער,רע,vågen,vaken,våken,riattiva,Actief,待機モードを解除,ตื่น,ébrenlét,wzbudzono,aktívne,ενεργό,aktivní,reactivare,,Uyandırma,пробуждение,Aufwachen,desperta,Päällä
Banana,Banane,Plátano,Banane,Bananä,香蕉,香蕉,바나나,Banana,موز,ﺯﻮﻣ,בננה,הננב,Banan,Banan,Banan,Banana,Banaan,バナナ,กล้วย,Banán,Banan,Banán,Μπανάνα,Banán,,,,Банан,Banane,Plàtan,
bar,bars,bar,Bar,Bar,巴,巴,bar,bar,ضغط,ﻂﻐﺿ,באר,ראב,bar,bar,bar,bar,bar,圧力 (bar),บาร์,bar,bar,bar,bar,bar,bar,,bar,бар,Bar,bars,bar
Basil,Basilic,Albahaca,Basilikum,Basilikum,罗勒,羅勒,바질,Manjericão,حبق,ﻖﺒﺣ,ריחן (בזיליקום),(םוקיליזב) ןחיר,Basilikum,Basilika,Basilikum,Basilico,Basilicum,バジル,โหระพา,Bazsalikom,Bazylia,Bazalka,Βασιλικός,Bazalka,,,,Базилик,Basilikum,Alfàbrega,
Beans,Grains,Granos,Bohnen,Bohnä,咖啡豆,咖啡豆,원두,Grãos,حبوب,ﺏﻮﺒﺣ,פולים,םילופ,Bønner,Bönor,Bønner,Chicchi,Bonen,豆,เมล็ดกาแฟ,Bab,Ziarna,Kávové zrná,Φασόλια,Fazole,,,,Кофе (зерно),Bohnen,Grans,
Beef,Boeuf,Carne de res,Rindfleisch,Rindfleisch,牛肉,牛肉,소고기,Carne bovina,لحم البقر,ﺮﻘﺒﻟﺍ ﻢﺤﻟ,בקר,רקב,Bøf,Biff,Biff,Manzo,Rundvlees,牛肉,เนื้อวัว,Marha,Wołowina,Hovädzina,Βοδινό,Hovězí maso,,,,Говядина,Kuafleisch,Vedella,
Bergamot,Bergamote,Bergamota,Bergamotte,Bergamottä,佛手柑,彿手柑,베르가뭇,Bergamota,البرغموت,ﺕﻮﻤﻏﺮﺒﻟﺍ,ברגמוט,טומגרב,Bergamotte,Bergamott,Bergamott,Bergamotto,Bergamot,ベルガモット,มะกรูด,Bergamot,Bergamota,Bergamot,Περγαμόντο,Bergamot,,,,Бергамот,Bergamotte,Bergamota,
Berry,Baies,Bayas,Beeren,Beeri,浆果,漿果,베리,Frutas vermelhas,توت,ﺕﻮﺗ,גרגר יער,רעי רגרג,Bær,Bär,Bær,Bacche,Bes,ベリー,เบอร์รี,Bogyó,Jagoda,Bobuľa,Μούρο,,,,,Ягоды,Beer,Baia,
Black currant,Cassis,Grosella negra,Schwarze Johannisbeere,Schwarzi Trübäli,黑加伦子,黑加倫子,블랙 커런트,Groselha preta,توت أسود,ﺩﻮﺳﺃ ﺕﻮﺗ,"ענבי שועל (דומדמנית שחורה, קסיס)","(סיסק ,הרוחש תינמדמוד) לעוש יבנע",Solbær,Svart vinbär,Solbær,Ribes nero,Zwarte Bes,ブラックカラント,แบล็กเคอร์แรนต์,Feketeribizli,Czarna Porzeczka,Čierne rízbezle,Μαύρη σταφίδα,Černý rybíz,,,,Черная смородина,Schwarze Johannisbeere,Grosella negra,
Black pepper,Poivre noir,Pimienta negra,Schwarzer Pfeffer,Schwarzä Pfäffer,黑胡椒,黑胡椒,검은 후추,Pimenta-do-reino,فلفل أسود,ﺩﻮﺳﺃ ﻞﻔﻠﻓ,פלפל שחור,רוחש לפלפ,Sort pebber,Svartpeppar,Sort pepper,Pepe nero,Zwarte Peper,ブラックペッパー,พริกไทดำ,Fekete bors,Pieprz Czarny,Čierne korenie,Μαύρο πιπέρι,Černý pepř,,,,Черный перец,Schwarzer Pfeffer,Pebra negra,
Blackberry,Mûres,Mora,Brombeere,Brombeeri,黑莓,黑苺,블랙베리,Amora,توت أسود,ﺩﻮﺳﺃ ﺕﻮﺗ,אסנה (פטל שחור),(רוחש לטפ) הנסא,Brombær,Björnbär,Bjørnebær,More,Braam,ブラックベリー,แบล็กเบอร์รี,Szeder,Jeżyna,Černica,Βατόμουρο,Ostružina,,,,Ежевика,Brombeere,Móra,
Blinking low water warning,Alerte clignotante niveau d'eau faible,Alerta de bajo nivel de agua ,Blinkende Warnung bei niedrigem Wasserstand,Blinkendi Warnig bi tüüfem Wasserschtand,储水不足警示,儲水不足警示,물이 부족할 시 점멸로 경고,Alerta de baixo nível de água,ومضة تحذير إنخفاض المياه,ﻩﺎﻴﻤﻟﺍ ﺽﺎﻔﺨﻧﺇ ﺮﻳﺬﺤﺗ ﺔﻀﻣﻭ,הבהוב אזהרת כמות מים נמוכה,הכומנ םימ תומכ תרהזא בוהבה,Blinkende lav vandstandsalarm,Blinkande lågvattenvarning,Blinkende lav vannstandsalarm,Lampeggia per scarsezza d'acqua,Waarschuwing weinig water brandt,点滅により水量低下を警告,ไฟกระพริบเตือนระดับน้ำต่ำ,Alacsony vízszintnél villogás,Ostrzeżenie niskiego poziomu wody,Bliká varovanie nízkej hladiny vody,Παλλόμενη προειδοποίηση χαμηλής στάθμης νερού,,,,,Мигает предупреждение о малом уровне воды,Blinkende Warnung bei niedrigem Wasserstand,Avís de nivell d'aigua baix,
Blueberry,Myrtille/Bleuet,Arándano,Heidelbeere,Heidelbeeri,蓝莓,藍苺,블루베리,Mirtilo,العنب البرّيّ,ﻱﺮﺒﻟﺍ ﺐﻨﻌﻟﺍ,אוכמניה (בלוברי),(ירבולב) הינמכוא,Blåbær,Blåbär,Blåbær,Mirtilli,Bosbes,ブルーベリー,บลูเบอร์รี,Áfonya,Borówka,Čucoriedka,Μύρτιλο,Borůvka,,,,Черника/Голубика,Mosbeer,Nabiu,
Brand,Marque,Marca,Marke,Markä,牌子,牌子,브랜드,Marca,علامة تجارية,ﺔﻳﺭﺎﺠﺗ ﺔﻣﻼﻋ,מותג,גתומ,Mærke,Tillverkare,Merke,Marca,Merk,ブランド,ยี่ห้อ,Márka,Marka,Značka,Μάρκα,Značka,,,,Обжарщик,Marke,Marca,
Brightness,Luminosité,Luminosidad,Helligkeit,Helligkeit,光亮度,光亮度,화면 밝기,Brilho,إضاءة,ﺓﺀﺎﺿﺇ,בהירות,תוריהב,Lysstyrke,Ljusstyrka,Lysstyrke,Luminosità,Helderheid,明るさ,ความสว่าง,Fényerő,Jasność ekranu,Jas,Φωτεινότητα,Jas,luminozitate,,Parlaklık,Яркость,Helligkeit,Lluminositat,Kirkkaus
Brown sugar,Sucre roux,Azúgar moreno,Rohrzucker,Rohrzucker,黄糖,黃糖,흑설탕,Açúcar Mascavo,سكربنَي,ﻱَﻨﺑﺮﻜﺳ,סוכר חום,םוח רכוס,Brun sukker,Brunt socker,Brunt sukker,Zucchero di canna,Bruine suiker,黒糖,น้ำตาลทรายแดง,Barna cukor,Cukier brązowy,Hnedý cukor,Καστανή ζάχαρη,Hnědý cukr,,,,Коричневый сахар,Rohrzucker,Sucre morè,
Butter,Beurre,Mantequilla,Butter,Anggä,牛油,牛油,버터,Manteiga,زبدة,ﺓﺪﺑﺯ,חמאה,האמח,Smør,Smör,Smør,Burro,Boter,バター,เนย,Vaj,Masło,Maslo,Βούτυρο,Máslo,,,,Масло,Buttr,Mantega,
Cancel,Annuler,Cancelar,Abbrechen,Abbrächä,取消,取消,취소,Cancelar,إلغاء,ﺀﺎﻐﻟﺇ,ביטול,לוטיב,Afbryd,Avbryt,Koble fra,Annulla,Annuleer,キャンセル,ยกเลิก,Mégsem,Anuluj,Zrušiť,Ακύρωση,Zrušit,Anulare,,İptal,Отмена,Abbrechen,Cancel·la,Peruuta
Caramel,Caramel,Caramelo,Karamell,Karamell,焦糖,焦糖,카라멜,Caramelo,كراميل,ﻞﻴﻣﺍﺮﻛ,קרמל,למרק,Karamel,Karamell,Karamell,Caramello,Caramel,キャラメル,คาราเมล,Karamella,Karmel,Karamel,Καραμέλα,Karamel,,,,Карамель,Karamell,Caramel,
Cardamon,Cardamome,Cardamomo,Kardamom,Kardamom,小豆蔻,小豆蔻,카더몬,Cardamomo,الهال,ﻝﺎﻬﻟﺍ,הל,לה,Kardemumme,Kardemumma,Kardemomme,Cardamomo,Cardamom,カルダモン,กระวาน,Kardamon,Kardamon,Kardamon,Κάρδαμο,Kardamon,,,,Кардамон,Kardamom,Cardamom,
Categories,Catégories,Categorías,Kategorien,Kategoriä,类别,類別,카테고리,Categorias,أصناف,ﻑﺎﻨﺻﺃ,קטגוריות,תוירוגטק,Kategorier,Kategorier,Kategorier,Categorie,Categorieën,カテゴリー,หมวดหมู่,Kategóriák,Kategorie,Kategórie,Κατηγορίες,Kategorie,,,,Категории,Kategorien,Categories,
Change after:,Changer après,Cambiar despues de,Ändern nach,Änderä nach,变更：每,變更：每,사진 바꾸기,Alterar após:,تغيير بعد,ﺪﻌﺑ ﺮﻴﻴﻐﺗ,שנה לאחר:,:רחאל הנש,Skift efter,Ändra efter,Bytt etter,Cambia dopo,Verander nadat,イメージ変更間隔,เปลี่ยนหลังจาก:,Váltás sűrűsége,Zmień obraz po,Zmeniť po,Αλλαγή μετά από,Změnit po,Schimbare după,,Değiştirme süresi,Менять после:,Ummödlen af,Canvia després:,Muuta jälkeen
Change every:,Changer chaque,Cambiar cada,Ändern alle,Änderä alli,变更：每,變更：每,사진 바꾸기,Alterar a cada:,تغيير كلّ مرة,ﺓﺮﻣ ﻞﻛ ﺮﻴﻴﻐﺗ,שנה כל:,:לכ הנש,Start hver,Ändra varje,Start hver,Cambia ogni,Verander elke,イメージ変更間隔,เปลี่ยนทุกครั้งเมื่อ:,Váltás sűrűsége,Zmień co,Zmeniť každých,Αλλαγή κάθε,Změnit každých,,,herşeyi değiştir,Менять каждые:,Ummödlen alle,Canvia cada:,Muuta joka
Chart flow rate changes,Afficher les variations de débit,Trazar los cambios de flujo,Diagramm des Durchflussverlaufs,Änderigä vu dr Durchflussratä uufzeigä,记录流速变化,記錄流速變化,유량 차트 변환,Gráfico de variação de fluxo,مخطط معدل التدفق يتغير,ﻖﻓﺪﺘﻟﺍ ﺔﺒﺴﻧ ﺮﻴﻐﺗ ﻝﻭﺪﺟ,תרשים קצב זרימה,המירז בצק םישרת,Vis flowændringer,Visa flödesförändringar,Vis strømningsendringer,Tabella modificazioni flusso,Veranderingen in debiet weergeven,フロー変化をグラフ表示,แผนภูมิการเปลี่ยนแปลงอัตราการไหล,Átfolyás grafikon,Wykres zmiany przepływu,Zapíš zmeny prietoku,Αλλαγές στο διάγραμμα ρυθμού ροής,Vykreslovat změny průtoku,,,,График изменения скорости потока,Diagramm des Durchflussverlaufs,Traça els canvis de flux,
Chart pressure changes,Afficher les variations de pression,Trazar los cambios de presión,Diagramm des Druckverlaufs,Druckänderigä uufzeigä,记录压力变化,記錄壓力變化,압력 차트 변환,Gráfico de variação de pressão,مخطط الضغط يتغير,ﻂﻐﻀﻟﺍ ﺮﻴﻐﺗ ﻝﻭﺪﺟ,תרשים שינוי לחץ,ץחל יוניש םישרת,Vis trykændringer,Visa tryckförändringar,Vis trykkendringer,Tabella modificazioni pressione,Veranderingen in druk weergeven,圧力変化をグラフ表示,แผนภูมิการเปลี่ยนแปลงความดัน,Nyomás grafikon,Wykres zmiany ciśnienia,Zapíš tlak,Αλλαγές στο διάγραμμα πίεσης,Vykreslovat změny tlaku,,,,График изменения давления,Diagramm des Druckverlaufs,Traça els canvis de pressió,
Chart weight changes,Afficher les variations de poids,Trazar cambios de peso,Diagramm des Gewichtsverlaufs,Gwichtsänderigä grafisch darschtellä,记录重量变化,記錄重量變化,무게 차트 표시,Gráfico de variação de pedo,مخطط الوزن يتغير,ﻥﺯﻮﻟﺍ ﺮﻴﻐﺗ ﻝﻭﺪﺟ,תרשים שינוי משקל,לקשמ יוניש םישרת,Vis vægtændringer,Visa viktändring,Vis vektendringer,Tabella modificazioni peso,Noteer gewichtsveranderingen,重量変化をグラフ表示,แผนภูมิการเปลี่ยนแปลงน้ำหนัก,Súly grafikon,Wykres zmiany wagi,Zaznamenaj zmeny hmotnosti,Αλλαγές στο διάγραμμα βάρους,,,,,График изменения веса,Diagramm des Gewichtsverlaufs,Traça els canvis de pes,
Cheddar,Cheddar,Cheddar,Cheddar,Cheddar-Chäs,车打芝士,車打芝士,체다치즈,Cheddar,جبنة شيدر,ﺭﺪﻴﺷ ﺔﻨﺒﺟ,צ׳דר,רד׳צ,Cheddar,Cheddar,Cheddar,Formaggio,Cheddar,チェダー,เชดดาร์,Cheddar,Cheddar,Čedar,Τσένταρ,Čedar,,,,Чеддер,Cheddar,Cheddar,
Chinese pear,Pomme-poire,Pera nashi,Nashi-Birne,Nashi-Birä,雪梨,雪梨,배,Pêra Chinesa,أجاص صيني,ﻲﻨﻴﺻ ﺹﺎﺟﺃ,אגס סיני,יניס סגא,Nashi,Nashi,Nashi,Pera Nashi,Chinese peer,梨,สาลี่,Kínai körte,Gruszka chińska,Čínska hruška,Αχλαδόμηλο,Nashi,,,,Китайская груша,Nashi-Biira,Pera xinesa,
Chocolate & caramel,Chocolat et caramel,Chocolate & caramelo,Schokolade & Karamell,Schoggi & Karamell,巧克力＆焦糖,朱古力＆焦糖,초콜렛 & 카라멜,Chocolate & caramelo,شوكولاتة وكاراميل,ﻞﻴﻣﺍﺭﺎﻛﻭ ﺔﺗﻻﻮﻛﻮﺷ,שוקולד וקרמל,למרקו דלוקוש,Chokolade & karamel,Choklad & karamell,Sjokolade & karamell,Cioccolato & caramello,Chocolade en Caramel,チョコレート＆カラメル,ช้อกโกแลตและคาราเมล,Csokoládé & karamella,Czekolada & karmel,Čokoláda a karamel,Σοκολάτα και καραμέλα,Čokoláda & karamel,,,,Шоколад и карамель,Schugglade & Karamell,Xocolata i caramel,
Chrysanthemum,Chrysanthème,Crisantemo,Chrysantheme,Chysanthem,菊花,菊花,국화,Crisântemo,اقحوان,ﻥﺍﻮﺤﻗﺍ,חרצית,תיצרח,Krysantemum,Krysantemum,Krysantemum,Crisantemo,Chrysant,菊,เก็กฮวย,Krizantém,Chryzantema,Chryzanténa,Χρυσάνθεμο,Chryzantéma,,,,Хризантема,Chrysantheme,Crisantem,
Cinnamon,Cannelle,Canela,Zimt,Zimt,肉桂,肉桂,시나몬,Canela,قرفة,ﺔﻓﺮﻗ,קינמון,ןומניק,Kanel,Kanel,Kanel,Cannella,Kaneel,シナモン,อบเชย (ซินนามอน),Fahéj,Cynamon,Škorica,Κανέλα,Skořice,,,,Корица,Zimmat,Canyella,
Citrus,Agrumes,Cítricos,Zitrus,Zitrus,柑橘,柑橘,시트러스,Cítrico,لَيْمُون,ﻥﻮﻤﻴﻟ,פירות הדר,רדה תוריפ,Citrus,Citrus,Sitrus,Cedro,Citrus,柑橘類,พืชตระกูลส้ม (ซิตรัส),Citrus,Cytrus,Citrus,εσπεριδοειδές,Citrus,,,,Цитрусы,Zitrus,Cítrics,
Clean,Nettoyage,Limpiar,Reinigen,Reinigä,清洁,清潔,자동 청소,Limpar,تنظيف,ﻒﻴﻈﻨﺗ,ניקוי,יוקינ,Rengør,Rengöring,Rengjør,Pulizia,Reinigen,クリーン,ทำความสะอาด,Tisztítás,Wyczyść,Vyčistiť,Καθαρισμός,Vyčistit,Curățare,,Temizleme,Очистка,Reinigen,Neteja,Puhdistus
Clove,Clou de girofle,Clavo,Gewürznelke,Nägeli,丁香,丁香,클로브,Cravo-da-índia,قرنفل,ﻞﻔﻧﺮﻗ,ציפורן,ןרופיצ,Nilleke,Kryddnejlika,Nellik,Chiodi di garofano,Kruidnagel,クローブ,กานพลู,Szegfűszeg,Goździk,Klinček,Γαρίφαλο,Hřebíček,,,,Гвоздика,Raaßnagelen,Clau d'olor,
Coconut,Noix de coco,Coco,Kokosnuss,Kokosnuss,椰子,椰子,코코넛,Coco,جوز هند,ﺪﻨﻫ ﺯﻮﺟ,קוקוס,סוקוק,Kokus,Kokos,Kokos,Cocco,Kokosnoot,ココナッツ,มะพร้าว,Kókuszdió,Kokos,Kokos,Καρύδα,Kokos,,,,Кокос,Kokosnuss,Coco,
coffee,café,Café,Kaffee,Kaffi,咖啡,咖啡,커피,café,قهوة,ﺓﻮﻬﻗ,קפה,הפק,Kaffe,Kaffe,Kaffe,Caffè,Koffie,コーヒー,กาแฟ,Kávé,Kawa,Káva,Kαφές,Káva,,,,кофе,Kofee,cafè,
Connect,Connecter,Conectar,Verbinden,Verbindig härschtellä,连接,連接,연결,Conectar,إتّصَل,ﻞﺼﺗﺇ,התחבר,רבחתה,Forbind,Koppla upp,Koble til,Connetti,Verbinden,接続,เชื่อมต่อ,Kapcsolódás,Połącz,Pripojiť,Σύνδεση,Připojit,Conectare,,Bağlan,Подключить,Verbinden,Connecta,Yhdistä
Connect,Connecter,Conectar,Verbinden,Aaschlüssä,连接,連接,연결,Conectar,إتّصَل,ﻞﺼﺗﺇ,התחבר,רבחתה,Forbind,Anslut,Koble til,Connetti,Verbinden,接続,เชื่อมต่อ,Kapcsolódás,Połącz,Pripojiť,Σύνδεση,Připojit,,,,Подключить,Verbinden,Connecta,
Connected,Connecté,Conectado,verbunden,aagschlossä,已连接,已連接,연결되었습니다,Conectado,مُتّصِل,ﻞﺼﺘﻣ,מחובר,רבוחמ,Forbundet,Uppkopplad,Tilkoblet,Connesso,Verbonden,接続済み,เชื่อมต่อแล้ว,Kapcsolódva,Połączono,Pripojené,Συνδεδεμένο,Připojeno,,,,Подключено,verbunden,Connectat,
Connecting,Connexion en cours,Conectando,Verbindungsaufbau,Verbindigsufbuu,连接中,連接中,머신과 연결 중 입니다,Conectando,يتصل,ﻞﺼﺘﻳ,מתחבר,רבחתמ,Forbinder,Kopplar upp,Kobler til,Connessione,wordt verbonden,接続中,กำลังเชื่อมต่อ,Kapcsólódás,Szukam połączenia,Pripája,απόπειρα σύνδεσης,Připojuje se,,,,Подключение,Verbindungsaufbau,Connectant,
Connection,Connexion,Conexión,Verbindung,Verbindig,连接资讯,連接資訊,연결,Conexão,إتّصال,ﻝﺎﺼﺗﺇ,חיבור,רוביח,Forbindelse,Uppkopplad enhet,Tilkobling,Connessione,Verbinding,接続,การเชื่อมต่อ,Kapcsolat,Połączenie,Pripojenie,Σύνδεση,Připojení,Conexiune,,Bağlantı,Подключение,Verbindung,Connexió,Yhteys
Cool down,Refroidir après,Enfriamiento,Abkühlen,Abchüälä,开始降温,開始降溫,절전 모드,Resfriamento,تبريد,ﺪﻳﺮﺒﺗ,קירור,רוריק,Nedkøling,Nerkylning,Nedkjøling,Raffreddamento,Afkoelen,クールダウン,ลดอุณหภูมิลง,Hűtés,Schłódź,Vychladiť,Ψύξη,,,,soğut,Остывание,Abkühlen,Refredament,Vähennä lämpötilaa
Cool down after:,Refroidir après,Enfriar después de,Ausschalten nach,Abchüälä nach,降低温度：如静止,降低溫度：如靜止,절전 모드로 전환 ,Resfriar após:,تبريد بعد,ﺪﻌﺑ ﺪﻳﺮﺒﺗ,קירור לאחר:,:רחאל רוריק,Nedkøling efter,Nedkylning efter,Nedkjøling etter,Raffredda dopo,Afkoelen na,クールダウン,ลดอุณหภูมิลงหลังจาก:,Lehűtés időzítő,Wyłącz grzanie po,Vychladiť po,Ψύξη μετά από,,,,sonrasında soğut,Остывание после:,Abkühlen nach,Refreda després de:,Jäähdytä kuluttua
Cool down:,Refroidir,Enfriar,Kühlen,Chüälä,降低温度,降低溫度,절전 모드로 전환,Resfriar:,تبريد:,:ﺪﻳﺮﺒﺗ,קירור:,:רוריק,Nedkøling,Nedkylning,Nedkjøling,Raffredda,Koel af,クールダウン,ลดอุณหภูมิ,Lehűtés,Schłodzenie,Vychladiť,Ψύξη,,,,,Остывание:,Kühlen,Refreda: ,
Cranberry,Canneberge,Arándano rojo,Cranberry,Moosbeeri,红莓,紅莓,크랜베리,Cranberry,التوت البري,ﻱﺮﺒﻟﺍ ﺕﻮﺘﻟﺍ,חמוצית (קרנברי),(ירבנרק) תיצומח,Tranebær,Tranbär,Tranebær,Mirtillo rosso,Veenbes,クランベリー,แครนเบอร์รี,Vörösáfonya,Żurawina,Brusnica,Κράνμπερι,Brusinka,,,,Клюква,Cranberry,Nabiu de grua,
Cream,Crême,Crema,Rööm,Rahm,奶油,奶油,크림,Creme,كريمة,ﺔﻤﻳﺮﻛ,שמנת,תנמש,Fløde,Grädde,Fløte,Panna,Room,クリーム,ครีม,Tejszín,Śmietanka,Smotana,Κρέμα,Smetana,,,,Сливки,Sahne,Crema,
